,EVSE ID,energia_totale_kwh,ricavi_totali,costo_stimato,indirizzo_stazione
0,IT*F2X*EF2XITA1001*1,49617.256,33739.91,12404.314,A1 - Autostrada del Sole
1,IT*F2X*EF2XITA1001*2,43585.968,29598.91,10896.492,A1 - Autostrada del Sole
2,IT*F2X*EF2XITA1002*1,49459.712,33632.47,12364.928,A1 - Autostrada del Sole
3,IT*F2X*EF2XITA1002*2,46611.74,31696.0,11652.935,A1 - Autostrada del Sole
4,IT*F2X*EF2XITA1051*1,2471.11,1359.09,617.7775,A1 - Autostrada del Sole
5,IT*F2X*EF2XITA1051*2,1022.423,562.33,255.60575,A1 - Autostrada del Sole
6,IT*F2X*EF2XITA1051*3,924.85,416.08,231.2125,A1 - Autostrada del Sole
7,IT*F2X*EF2XITA1101*1,40850.536,27777.38,10212.634,A1 - Autostrada del Sole
8,IT*F2X*EF2XITA1101*2,24841.236,16891.81,6210.309,A1 - Autostrada del Sole
9,IT*F2X*EF2XITA1102*1,30770.212,20923.24,7692.553,A1 - Autostrada del Sole
10,IT*F2X*EF2XITA1102*2,42534.196,28881.19,10633.549,A1 - Autostrada del Sole
11,IT*F2X*EF2XITA1151*1,1481.374,799.96,370.3435,A1 - Autostrada del Sole
12,IT*F2X*EF2XITA1151*2,715.111,393.33,178.77775,A1 - Autostrada del Sole
13,IT*F2X*EF2XITA1151*3,937.096,421.74,234.274,A1 - Autostrada del Sole
14,IT*F2X*EF2XITA1501*1,4324.324,2903.83,1081.081,A1 - Autostrada del Sole
15,IT*F2X*EF2XITA1501*2,3002.322,2041.55,750.5805,A1 - Autostrada del Sole
16,IT*F2X*EF2XITA1502*1,7453.939,5068.66,1863.48475,A1 - Autostrada del Sole
17,IT*F2X*EF2XITA1502*2,6457.15,4390.9,1614.2875,A1 - Autostrada del Sole
18,IT*F2X*EF2XITA1551*1,528.374,290.61,132.0935,A1 - Autostrada del Sole
19,IT*F2X*EF2XITA1551*2,181.235,99.66,45.30875,A1 - Autostrada del Sole
20,IT*F2X*EF2XITA1551*3,167.278,75.28,41.8195,A1 - Autostrada del Sole
21,IT*F2X*EF2XITA1601*1,18112.062,12316.16,4528.0155,A1 - Autostrada del Sole
22,IT*F2X*EF2XITA1601*2,17722.486,12045.01,4430.6215,A1 - Autostrada del Sole
23,IT*F2X*EF2XITA1602*1,22440.445,15244.37,5610.11125,A1 - Autostrada del Sole
24,IT*F2X*EF2XITA1602*2,18908.276,12827.37,4727.069,A1 - Autostrada del Sole
25,IT*F2X*EF2XITA1651*1,3267.195,1797.01,816.79875,A1 - Autostrada del Sole
26,IT*F2X*EF2XITA1651*2,706.83,364.73,176.7075,A1 - Autostrada del Sole
27,IT*F2X*EF2XITA1651*3,861.002,341.35,215.2505,A1 - Autostrada del Sole
28,IT*F2X*EF2XITA2001*1,75481.964,51286.73,18870.491,A1 - Autostrada del Sole
29,IT*F2X*EF2XITA2001*2,57682.606,36859.15,14420.6515,A1 - Autostrada del Sole
30,IT*F2X*EF2XITA2002*1,75301.608,51205.17,18825.402,A1 - Autostrada del Sole
31,IT*F2X*EF2XITA2002*2,79792.46,54209.87,19948.115,A1 - Autostrada del Sole
32,IT*F2X*EF2XITA2051*1,11499.606,6324.83,2874.9015,A1 - Autostrada del Sole
33,IT*F2X*EF2XITA2051*2,1657.366,911.52,414.3415,A1 - Autostrada del Sole
34,IT*F2X*EF2XITA2051*3,1469.151,661.1,367.28775,A1 - Autostrada del Sole
35,IT*F2X*EF2XITA2101*1,40391.96,27465.98,10097.99,A1 - Autostrada del Sole
36,IT*F2X*EF2XITA2101*2,33914.626,23061.88,8478.6565,A1 - Autostrada del Sole
37,IT*F2X*EF2XITA2102*1,58061.592,39481.87,14515.398,A1 - Autostrada del Sole
38,IT*F2X*EF2XITA2102*2,45066.404,30645.08,11266.601,A1 - Autostrada del Sole
39,IT*F2X*EF2XITA2151*1,3717.013,2044.24,929.25325,A1 - Autostrada del Sole
40,IT*F2X*EF2XITA2151*2,1211.058,666.06,302.7645,A1 - Autostrada del Sole
41,IT*F2X*EF2XITA2151*3,1718.13,773.02,429.5325,A1 - Autostrada del Sole
42,IT*F2X*EF2XITA2501*1,3890.441,2642.41,972.61025,"A1, Milano - Napoli"
43,IT*F2X*EF2XITA2501*2,2725.243,1850.18,681.31075,"A1, Milano - Napoli"
