Tratta,Strada,Km,Comune,Pr,Consistenza gg,Leggeri,Pesanti
312011,A90,39.91,Roma,RM,360.0,137629,4371
312010,A90,33.093,Roma,RM,193.0,127167,3631
312013,A90,53.423,Roma,RM,359.0,123916,3595
312007,A90,14.236,Roma,RM,359.0,109070,3278
312014,A90,58.947,Roma,RM,336.0,106720,4188
312015,A90,63.893,Roma,RM,360.0,106048,2627
920004,A90,42.889,Roma,RM,358.0,103738,5033
16024,SS16,801.044,Bari,BA,357.0,102165,4908
920002,A90,25.202,Roma,RM,353.0,99505,4109
303002,SS36,17.013,Desio,MB,334.0,96620,4269
303001,SS36,10.366,Monza,MB,360.0,96165,3730
920001,A90,8.618,Roma,RM,360.0,95869,2924
416,SS36,23.269,Carate Brianza,MB,123.0,90915,3746
920102,A91,14.301,Fiumicino,RM,359.0,85509,1457
312006,A90,0.725,Roma,RM,283.0,84467,2985
1888_NEW,A2,22.136,Pontecagnano Faiano,SA,357.0,69910,5679
3488,SS36,49.281,Lecco,LC,315.0,66882,2208
920010,A91,9.302,Roma,RM,347.5,64949,1631
19105,RA15,6.983,Misterbianco,CT,358.0,64725,2384
19041,A19DIR,0.693,Palermo,PA,360.0,63736,1714
3433_NEW,RA12,12.719,San Giovanni Teatino,CH,353.0,60652,1102
303005,SS36,27.727,Giussano,MB,302.0,56993,3200
412018,SS2BIS,7.994,Roma,RM,360.0,56904,813
303003,SS36,34.5,Costa Masnaga,LC,360.0,56637,2810
412025,SS148,37.259,Ardea,RM,360.0,53216,2382
2279,SS18,61.326,Salerno,SA,360.0,52713,758
847,SS121,7.973,Motta Sant'Anastasia,CT,202.0,52618,1680
915,SS131DIR,4.382,Cagliari,CA,203.0,52198,721
900012,A2,11.594,Salerno,SA,350.0,52044,5738
671_NEW,A2,6.963,Salerno,SA,360.0,52022,5882
920072,SS75,0.927,Perugia,PG,231.0,51678,2174
1384,SS336,5.061,Gallarate,VA,360.0,49971,1778
15102,A2DIR-NA,1.401,Salerno,SA,360.0,46849,2145
50091,SS9VAR,3.032,Parma,PR,359.0,46446,1515
"920103
direz. Fiumicino",A91,12.882,Roma,RM,359.0,45826,739
16022,SS100,9.3,Capurso,BA,360.0,44525,2096
15104,A2,29.181,Battipaglia,SA,360.0,42219,4375
2275,RA10,5.057,Borgaro Torinese,TO,359.0,42118,1120
16008,SS694,2.612,Lecce,LE,360.0,41579,1412
16027,SS16,777.32,Molfetta,BA,361.0,40963,2580
3523,SS554,4.829,Monserrato,CA,358.0,40890,876
1898_NEW,A2DIR-RC,7.987,Reggio di Calabria,RC,360.0,39571,522
50001,SS9VAR,9.898,Parma,PR,357.0,39291,2558
50006,SS725,5.751,Piacenza,PC,359.0,39062,1861
508040,SS9VAR-A,2.127,Parma,PR,355.0,36347,980
16006,SS694,9.298,Cavallino,LE,128.0,36072,960
3226,A29,7.603,Carini,PA,359.0,35911,1075
10051,SS36,55.83,Abbadia Lariana,LC,349.0,35829,1038
412013,SS2,23.606,Formello,RM,360.0,35347,553
19016,A29,15.845,Cinisi,PA,360.0,34754,1135
513136,SS714,10.244,Pescara,PE,360.0,34282,658
WIM,RA15,1.488,Sant'Agata li Battiati,CT,314.0,32414,1715
"920101
direz. Fiumicino",A91,18.181,Fiumicino,RM,359.0,32198,605
10029,RA3,6.75,Monteriggioni,SI,179.0,31002,1668
412026,SS5,18.681,Guidonia Montecelio,RM,360.0,30794,773
10035,SS712,1.141,Malnate,VA,363.0,30215,970
409008,SS719,13.834,Agliana,PT,360.0,30184,646
19079,A19,11.737,Altavilla Milicia,PA,349.0,29961,1598
503062,SS9,298.114,Lodi,LO,352.0,29030,1530
19080,A29,21.537,Cinisi,PA,360.0,28525,1088
508060,SS724,19.086,Fiorano Modenese,MO,361.0,28361,1938
3207,SS613,18.068,Squinzano,LE,360.0,28041,1746
16012,SS7,653.404,Taranto,TA,360.0,27827,1409
127,SS7BIS,82.858,Avellino,AV,359.0,27817,343
50019,SS16,195.668,Rimini,RN,321.0,27778,737
452,SS45BIS,56.095,Prevalle,BS,349.0,27574,1891
15010,RA2,20.275,Solofra,AV,350.0,27363,556
10036,SS336DIR,8.247,Lonate Pozzolo,VA,322.0,27101,1627
1046,SS4,18.207,Roma,RM,323.0,26946,326
277,SS16,982.759,Melpignano,LE,360.0,26941,502
50051,SS9,3.274,Rimini,RN,177.0,26259,518
503061,SS9DIR,1.003,Lodi,LO,346.0,26093,1183
503063,SS42,22.651,Zanica,BG,358.0,25894,1345
19125,SS114,142.293,Priolo Gargallo,SR,360.0,25866,1063
920026,RA13,19.752,Trieste,TS,221.0,25841,2465
50020,SS16,208.325,Rimini,RN,359.0,25744,343
1889_NEW,A2,49.783,Campagna,SA,358.0,25362,3384
50002,SS722,4.468,Reggio nell'Emilia,RE,359.0,25046,2063
412012,SS2,29.78,Campagnano di Roma,RM,360.0,24858,513
310002,SS675,8.72,Terni,TR,360.0,24802,1374
50017,SS16,179.667,Cesenatico,FC,349.0,24173,1156
920022,RA13,3.992,Duino Aurisina,TS,295.0,24030,5192
15012,SS268RACC,0.034,Palma Campania,,360.0,23992,2072
505056,SS16,42.849,Rovigo,RO,360.0,23952,741
50018,SS16,187.402,Bellaria-Igea Marina,RN,257.0,23940,1384
920025,RA13,18.715,Trieste,TS,350.0,23872,2729
310001,SS675,11.387,Terni,TR,343.0,23654,2677
720,SS106,11.638,Reggio di Calabria,RC,358.0,23404,391
920042,A0,32.596,San Dorligo della Valle,TS,360.0,23127,1189
404,SS34,5.906,Verbania,VB,193.0,23093,413
15029,SS700,4.01,Caserta,CE,360.0,23021,574
412036,SS214,17.161,Veroli,FR,360.0,22638,621
230,SS16,14.541,Due Carrare,PD,298.0,22573,170
501024,SS703,15.468,Novara,NO,360.0,22260,1173
852,SS121,249.083,Misilmeri,PA,333.0,22154,456
50066,SS9,22.263,Cesena,FC,349.0,22143,1234
19112,A CT-SR,25.12,Augusta,SR,359.0,22118,1102
19108,A1,9.642,Carlentini,SR,360.0,22118,1405
508034,SS16,159.453,Ravenna,RA,362.0,22049,1108
412040,SS630,1.82,Cassino,FR,360.0,21613,966
312003,SS675,52.929,Vitorchiano,VT,358.0,21526,1017
2356,SS7VAR,7.046,Minturno,LT,362.0,21347,891
15021,SS18,94.458,Capaccio Paestum,SA,360.0,21302,319
412014,SS4DIR,3.005,Fiano Romano,RM,360.0,21186,1141
16,SS1,346.834,Vecchiano,PI,360.0,21156,505
14,SS1,311.534,Livorno,LI,360.0,21149,368
15013,SS268,21.887,Terzigno,,360.0,21104,1445
16011,SS7TER,10.556,Taranto,TA,348.0,21079,510
513135,SS714,18.687,Francavilla al Mare,CH,360.0,20995,558
1333,SS309,86.469,Chioggia,VE,350.0,20960,2717
50049,SS72,7.296,Coriano,RN,345.0,20782,679
2210,SS33,56.681,Castelletto sopra Ticino,NO,358.0,20746,329
17,SS1,393.289,Sarzana,SP,286.0,20731,347
739,SS106RADD,17.679,Corigliano-Rossano,CS,361.0,20677,686
106,SS700,12.771,Casapulla,CE,354.0,20575,474
15014,SS145,21.696,Meta,,359.0,20535,263
314,SS18,440.71,Vibo Valentia,VV,359.0,20401,404
50061,SS9,217.029,Fontanellato,PR,357.0,20359,1696
421,SS38,32.856,Castione Andevenno,SO,360.0,20340,809
2454,SS679,1.968,Arezzo,AR,307.0,20171,949
490,SS51,46.733,Longarone,BL,266.0,20050,587
10037,SS494,12.351,Vermezzo con Zelo,MI,281.0,20045,770
1563_NEW,SS434,5.32,San Giovanni Lupatoto,VR,171.5,19765,2875
10028,SS715,8.573,Asciano,SI,360.0,19712,1186
409159,SS439,55.771,Calcinaia,PI,176.0,19704,617
15020,SS18,81.121,Eboli,SA,359.0,19594,599
3139,SS3BIS,6.765,San Gemini,TR,360.0,19494,2371
