Ambito,Postazione,Competenza,Strada,Km,Latitudine,Longitudine
ANAS,10021A,ANCONA,RA11,22+053,42.885923,13.853512
ANAS,10021D,ANCONA,RA11,22+895,42.889705,13.86246
ANAS,10022A,ANCONA,RA11,7+792,42.845392,13.694022
ANAS,10022D,ANCONA,RA11,8+516,42.846027,13.702785
ANAS,239,ANCONA,SS16,229+032,43.94657,12.81678
ANAS,240,ANCONA,SS16,243+197,43.885888,12.954982
ANAS,241,ANCONA,SS16,260+271,43.78812,13.10816
ANAS,411009,ANCONA,SS16,285+146,43.648839,13.347999
ANAS,1867,ANCONA,SS16,294+363,43.603347,13.423332
ANAS,243,ANCONA,SS16,301+288,43.578892,13.498425
ANAS,411010,ANCONA,SS16,319+417,43.469317,13.599699
ANAS,246,ANCONA,SS16,353+788,43.216865,13.779558
ANAS,247,ANCONA,SS16,377+827,43.01518,13.862978
ANAS,411020,ANCONA,SS210,32+282,43.0842,13.4977
ANAS,411016,ANCONA,SS256,31+350,43.2942,12.9927
ANAS,411015,ANCONA,SS256,4+008,43.114,13.0532
ANAS,411005,ANCONA,SS3,227+501,43.5047,12.6358
ANAS,411004,ANCONA,SS3,244+753,43.6388,12.6987
ANAS,411007,ANCONA,SS360,8+022,43.657,13.1663
ANAS,411017,ANCONA,SS361,49+269,43.2656,13.2545
ANAS,411018,ANCONA,SS361,96+354,43.127516,12.857124
ANAS,411025,ANCONA,SS362,5+267,43.487708,13.291052
ANAS,10023,ANCONA,SS4,154+954,42.76319,13.35668
ANAS,2314,ANCONA,SS4,172+877,42.830698,13.515297
ANAS,411002,ANCONA,SS423,18+656,43.7997,12.723
ANAS,411008,ANCONA,SS424,1+976,43.7527,13.128
ANAS,411006,ANCONA,SS424,53+248,43.5409,12.6743
ANAS,411022,ANCONA,SS433,3+282,43.0859,13.8033
ANAS,411021,ANCONA,SS571,9+578,43.375537,13.573749
ANAS,1866A,ANCONA,SS73BIS,101+864,43.76608,12.949971
ANAS,578,ANCONA,SS73BIS,27+782,43.639177,12.279583
ANAS,10058,ANCONA,SS73BIS,43+006,43.672423,12.437718
ANAS,579,ANCONA,SS73BIS,76+009,43.696837,12.693673
ANAS,1866D,ANCONA,SS73BIS,99+998,43.756178,12.931837
ANAS,411024,ANCONA,SS744,18+079,43.8112,12.6011
ANAS,411003,ANCONA,SS745,5+633,43.6672,12.6248
ANAS,411001,ANCONA,SS746,5+202,43.8676,12.8288
ANAS,10026,ANCONA,SS76,22+880,43.349725,12.994535
ANAS,10025A,ANCONA,SS76,29+291,43.402714,12.982526
ANAS,589,ANCONA,SS76,3+849,43.299492,12.806068
ANAS,10025D,ANCONA,SS76,33+947,43.43202,13.012043
ANAS,590,ANCONA,SS76,53+085,43.48501,13.209405
ANAS,611590D,ANCONA,SS76,57+073,43.503573,13.250988
ANAS,611590A,ANCONA,SS76,57+865,43.50705,13.25961
ANAS,10024,ANCONA,SS76,69+641,43.587697,13.345853
ANAS,3441,ANCONA,SS77,106+908,43.28421,13.695168
ANAS,411014,ANCONA,SS77,58+688,43.1404,13.18
ANAS,603A,ANCONA,SS77,65+944,43.171301,13.248023
ANAS,603D,ANCONA,SS77,66+181,43.173437,13.248317
ANAS,602A,ANCONA,SS77,87+951,43.260858,13.471427
ANAS,602D,ANCONA,SS77,88+157,43.261966,13.473491
ANAS,3440A,ANCONA,SS77,91+775,43.268525,13.516426
ANAS,3440D,ANCONA,SS77,93+478,43.264627,13.536203
ANAS,411012,ANCONA,SS77DIR,0+000,43.3062,13.4415
ANAS,411011,ANCONA,SS77DIR,102+415,43.3582,13.4923
ANAS,411019,ANCONA,SS77VAR,18+060,43.0251,12.9068
ANAS,411013,ANCONA,SS78,5+641,43.2133,13.3942
ANAS,411023,ANCONA,SS78,64+497,42.8762,13.4391
ANAS,371,AOSTA,SS26,125+485,45.73653,7.071332
ANAS,372,AOSTA,SS26,143+104,45.719338,6.94697
ANAS,369,AOSTA,SS26,66+959,45.694578,7.670925
ANAS,2276,AOSTA,SS26,92+456,45.739728,7.434202
ANAS,10072,AOSTA,SS26DIR,8+210,45.813927,6.95816
ANAS,375,AOSTA,SS27,13+381,45.807447,7.25067
ANAS,374,AOSTA,SS27,9+277,45.791158,7.290442
ANAS,190032,AUTOSTRADE SICILIA,A19,1+788,38.082262,13.46323
ANAS,19079D,AUTOSTRADE SICILIA,A19,10+884,38.046608,13.552063
