Tratta,Strada,Comune,Pr,Leggeri,Pesanti,Postazioni,Latitudine inizio,Latitudine fine,Longitudine inizio,Longitudine fine
312011,A90,Roma,RM,137629,4371,312011A - 312011D,41.848437,41.847658,12.595825,12.59575
312010,A90,Roma,RM,127167,3631,312010D - 312010A,41.907122,41.907208,12.615758,12.615417
312013,A90,Roma,RM,123916,3595,312013D - 312013A,41.7987,41.798962,12.470603,12.470598
312007,A90,Roma,RM,109070,3278,312007A - 312007D,41.98171,41.981958,12.448968,12.447788
312014,A90,Roma,RM,106720,4188,312014A - 312014D,41.809693,41.809693,12.406042,12.406042
312015,A90,Roma,RM,106048,2627,312015D - 312015A,41.84697,41.846873,12.380872,12.381212
920004,A90,Roma,RM,103738,5033,920006 - 920004,41.824156,41.832961,12.580786,12.587347
16024,SS16,Bari,BA,102165,4908,16024D - 16024A,41.09584,41.094467,16.831677,16.835797
920002,A90,Roma,RM,99505,4109,920002,41.965006,0.0,12.566181,0.0
303002,SS36,Desio,MB,96620,4269,303002A - 303002D,45.618142,45.619107,9.224245,9.224008
303001,SS36,Monza,MB,96165,3730,303001D - 303001A,45.586062,45.566537,9.250037,9.244093
920001,A90,Roma,RM,95869,2924,920000 - 920001,41.959287,41.958572,12.388734,12.387111
416,SS36,Carate Brianza,MB,90915,3746,416,45.67368,0.0,9.21951,0.0
920102,A91,Fiumicino,RM,85509,1457,920102,41.806935,0.0,12.303205,0.0
312006,A90,Roma,RM,84467,2985,312006A - 312006D,41.890762,41.896778,12.381445,12.38182
1888_NEW,A2,Pontecagnano Faiano,SA,69910,5679,1888A - 1888D,40.639,40.6394,14.9034,14.9036
3488,SS36,Lecco,LC,66882,2208,3488,45.83884,0.0,9.39956,0.0
920010,A91,Roma,RM,64949,1631,920009 - 920010,41.81565,41.815847,12.361597,12.361886
19105,RA15,Misterbianco,CT,64725,2384,19105,37.5275,0.0,15.03175,0.0
19041,A19DIR,Palermo,PA,63736,1714,19041A - 19041D,38.087893,38.086005,13.391432,13.428727
3433_NEW,RA12,San Giovanni Teatino,CH,60652,1102,3433D - 3433A,42.424945,42.431907,14.173292,14.179205
303005,SS36,Giussano,MB,56993,3200,303005A - 303005D,45.709643,45.710323,9.228032,9.227613
412018,SS2BIS,Roma,RM,56904,813,412018,42.040306,0.0,12.42173,0.0
303003,SS36,Costa Masnaga,LC,56637,2810,303003A - 303003D,45.757317,45.75841,9.275443,9.276623
412025,SS148,Ardea,RM,53216,2382,412025A - 412025D,41.63149,41.634227,12.569155,12.56508
2279,SS18,Salerno,SA,52713,758,2279,40.651172,0.0,14.825208,0.0
847,SS121,Motta Sant'Anastasia,CT,52618,1680,847,37.521937,0.0,14.996557,0.0
