EVSE ID,indirizzo_stazione,energia_erogata_kwh,ricavi_totali,costo_stimato,Numero_di_sessioni,within_1km_x,Plug Type,index,connector_evse_id,station_address,station_coordinates_lat,station_coordinates_lon,connector_isSuspended,latitude,longitude,restaurant,fuel,parking,atm,bank,hospital,pub,fast_food,townhall,nightclub,car_wash,conference_centre,payment_terminal,training,school,bus_station,pharmacy,supermarket,post_office,within_1km_y
IT*F2X*EF2XITA1001,A1 - Autostrada del Sole,93203.224,63378.30002634167,23300.806,2916.0,,,1578.0,IT*F2X*EF2XITA1001,A1 - Autostrada del Sole,45.321512,9.37723,0.0,45.321512,9.37723,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA1002,A1 - Autostrada del Sole,96071.452,65328.68607731459,24017.863,3134.0,,,1586.0,IT*F2X*EF2XITA1002,A1 - Autostrada del Sole,45.32147,9.377177,0.0,45.32147,9.377177,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,3444.0,IT*F2X*EF2XITA1003,A1 - Autostrada del Sole,45.32152,9.377206,0.0,45.32152,9.377206,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,3475.0,IT*F2X*EF2XITA1004,A1 - Autostrada del Sole,45.321494,9.377169,0.0,45.321494,9.377169,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA1051,A1 - Autostrada del Sole,4418.383,2337.7133763481556,1104.59575,376.0,,,2929.0,IT*F2X*EF2XITA1051,A1 - Autostrada del Sole,45.321575,9.377425,0.0,45.321575,9.377425,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA1101,A1 - Autostrada del Sole,65691.772,44670.529679350446,16422.943,2137.0,,,2941.0,IT*F2X*EF2XITA1101,A1 - Autostrada del Sole,45.321025,9.375251,0.0,45.321025,9.375251,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA1102,A1 - Autostrada del Sole,73304.408,49846.616394706885,18326.102,2376.0,,,2949.0,IT*F2X*EF2XITA1102,A1 - Autostrada del Sole,45.321051,9.375283,0.0,45.321051,9.375283,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,3971.0,IT*F2X*EF2XITA1103,A1 - Autostrada del Sole,45.321034,9.375245,0.0,45.321034,9.375245,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,3985.0,IT*F2X*EF2XITA1104,A1 - Autostrada del Sole,45.321055,9.375276,0.0,45.321055,9.375276,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA1151,A1 - Autostrada del Sole,3133.581,1633.2635491431906,783.39525,298.0,,,2603.0,IT*F2X*EF2XITA1151,A1 - Autostrada del Sole,45.320858,9.375379,0.0,45.320858,9.375379,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA1501,A1 - Autostrada del Sole,7326.646,4981.7984808905985,1831.6615,246.0,,,3090.0,IT*F2X*EF2XITA1501,A1 - Autostrada del Sole,45.142708,9.635074,0.0,45.142708,9.635074,3.0,4.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA1502,A1 - Autostrada del Sole,13911.089,9459.56,3477.77225,477.0,,,3092.0,IT*F2X*EF2XITA1502,A1 - Autostrada del Sole,45.142631,9.63498,0.0,45.142631,9.63498,3.0,4.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA1551,A1 - Autostrada del Sole,876.8870000000001,465.55,219.22175000000001,68.0,,,3094.0,IT*F2X*EF2XITA1551,A1 - Autostrada del Sole,45.142511,9.634849,0.0,45.142511,9.634849,3.0,4.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA1601,A1 - Autostrada del Sole,35834.548,24367.462576545768,8958.637,1330.0,,,2503.0,IT*F2X*EF2XITA1601,A1 - Autostrada del Sole,45.142303,9.632834,0.0,45.142303,9.632834,3.0,4.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA1602,A1 - Autostrada del Sole,41348.721,28116.80157347412,10337.18025,1646.0,,,2546.0,IT*F2X*EF2XITA1602,A1 - Autostrada del Sole,45.142295,9.63287,0.0,45.142295,9.63287,3.0,4.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA1651,A1 - Autostrada del Sole,4835.027,2601.8204517265344,1208.75675,383.0,,,2557.0,IT*F2X*EF2XITA1651,A1 - Autostrada del Sole,45.142338,9.632621,0.0,45.142338,9.632621,3.0,4.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA2001,A1 - Autostrada del Sole,133164.57,90534.98204420564,33291.1425,4002.0,,,3078.0,IT*F2X*EF2XITA2001,A1 - Autostrada del Sole,44.962843,9.906473,0.0,44.962843,9.906473,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2002,A1 - Autostrada del Sole,155094.068,105463.64659191658,38773.517,4644.0,,,3084.0,IT*F2X*EF2XITA2002,A1 - Autostrada del Sole,44.962798,9.906515,0.0,44.962798,9.906515,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
,,,,,,,,2489.0,IT*F2X*EF2XITA2003,A1 - Autostrada del Sole,44.962729,9.906592,0.0,44.962729,9.906592,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2051,A1 - Autostrada del Sole,14626.123,7897.608006536292,3656.53075,876.0,,,3069.0,IT*F2X*EF2XITA2051,A1 - Autostrada del Sole,44.962899,9.906408,0.0,44.962899,9.906408,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2101,A1 - Autostrada del Sole,74306.586,50528.45691358155,18576.6465,2491.0,,,4923.0,IT*F2X*EF2XITA2101,A1 - Autostrada del Sole,44.96265,9.90435,0.0,44.96265,9.90435,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA2102,A1 - Autostrada del Sole,103127.996,70127.09585218734,25781.999,3418.0,,,4914.0,IT*F2X*EF2XITA2102,A1 - Autostrada del Sole,44.96261,9.90443,0.0,44.96261,9.90443,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
